;EDD
0,0,140,
1,0.128,238,
2,0.256,242,
3,0.384,240,
4,0.512,255,
5,0.64,255,
6,0.768,254,
7,0.896,243,
8,1.024,223,
9,1.152,206,
10,1.28,197,
11,1.408,154,
12,1.536,94,
13,1.664,51,
14,1.792,27,
15,1.92,14,
16,2.048,7,
17,2.176,3,
18,2.304,4,
19,2.432,3,
20,2.56,2,
21,2.688,2,
22,2.816,5,
23,2.944,9,
24,3.072,9,
25,3.2,9,
26,3.328,7,
27,3.456,5,
28,3.584,3,
29,3.712,2,
30,3.84,2,
31,3.968,1,
32,4.096,2,
33,4.224,3,
34,4.352,3,
35,4.48,2,
36,4.608,2,
37,4.736,3,
38,4.864,3,
39,4.992,3,
40,5.12,2,
41,5.248,1,
42,5.376,1,
43,5.504,1,
44,5.632,1,
45,5.76,3,
46,5.888,6,
47,6.016,8,
48,6.144,8,
49,6.272,6,
50,6.4,3,
51,6.528,8,
52,6.656,11,
53,6.784,11,
54,6.912,9,
55,7.04,7,
56,7.168,6,
57,7.296,5,
58,7.424,4,
59,7.552,3,
60,7.68,2,
61,7.808,1,
62,7.936,2,
63,8.064,4,
64,8.192,5,
65,8.32,7,
66,8.448,8,
67,8.576,8,
68,8.704,7,
69,8.832,16,
70,8.96,23,
71,9.088,24,
72,9.216,23,
73,9.344,18,
74,9.472,13,
75,9.6,8,
76,9.728,5,
77,9.856,3,
78,9.984,5,
79,10.112,5,
80,10.24,5,
81,10.368,5,
82,10.496,4,
83,10.624,2,
84,10.752,5,
85,10.88,7,
86,11.008,7,
87,11.136,76,
88,11.264,64,
89,11.392,40,
90,11.52,26,
91,11.648,24,
92,11.776,12,
93,11.904,16,
94,12.032,16,
95,12.16,16,
96,12.288,24,
97,12.416,38,
98,12.544,78,
99,12.672,104,
100,12.8,106,
101,12.928,92,
102,13.056,52,
103,13.184,22,
104,13.312,26,
105,13.44,40,
106,13.568,42,
107,13.696,44,
108,13.824,38,
109,13.952,36,
110,14.08,16,
111,14.208,10,
112,14.336,14,
113,14.464,24,
114,14.592,30,
115,14.72,30,
116,14.848,28,
117,14.976,16,
118,15.104,10,
119,15.232,16,
120,15.36,12,
121,15.488,16,
122,15.616,16,
123,15.744,20,
124,15.872,24,
125,16,30,
126,16.128,30,
127,16.256,10,

EOF
